id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	active_TF	celltype_pairs	active_celltype
CPI-SS060B82BBC	JAG1_NOTCH2	simple:P78504	simple:Q04721	JAG1	NOTCH2	ID4	Germ.PGC|Somatic.OSE	Somatic.OSE
CPI-SS060B82BBC	JAG1_NOTCH2	simple:P78504	simple:Q04721	JAG1	NOTCH2	ID4	Somatic.OSE|Germ.PGC	Somatic.OSE
CPI-SS060B82BBC	JAG1_NOTCH2	simple:P78504	simple:Q04721	JAG1	NOTCH2	ID4	Somatic.OSE|Somatic.OSE	Somatic.OSE
CPI-SS060B82BBC	JAG1_NOTCH2	simple:P78504	simple:Q04721	JAG1	NOTCH2	ID4	Somatic.OSE|Somatic.preGC_IIa	Somatic.OSE
CPI-SS060B82BBC	JAG1_NOTCH2	simple:P78504	simple:Q04721	JAG1	NOTCH2	ID4	Somatic.preGC_IIa|Somatic.OSE	Somatic.OSE
CPI-CS019C00E02	Androsterone_byHSD17B6_NR1H4	complex:Androsterone_byHSD17B6	simple:Q96RI1	nan	NR1H4	NR1H4	Germ.oogonia_STRA8|Somatic.preGC_IIb	Somatic.preGC_IIb
CPI-CS08D535BCF	22Hydroxycholesterol_byCYP11A1_NR1H4	complex:22Hydroxycholesterol_byCYP11A1	simple:Q96RI1	nan	NR1H4	NR1H4	Germ.oogonia_STRA8|Somatic.preGC_IIb	Somatic.preGC_IIb
CPI-CS0FF6E7611	Histamine_byHDC_HRH1	complex:Histamine_byHDC	simple:P35367	nan	HRH1	NFKB1	Germ.oogonia_STRA8|Somatic.preGC_IIb	Somatic.preGC_IIb
CPI-CS019C00E02	Androsterone_byHSD17B6_NR1H4	complex:Androsterone_byHSD17B6	simple:Q96RI1	nan	NR1H4	NR1H4	Germ.oogonia_meiotic|Somatic.preGC_IIb	Somatic.preGC_IIb
CPI-CS08D535BCF	22Hydroxycholesterol_byCYP11A1_NR1H4	complex:22Hydroxycholesterol_byCYP11A1	simple:Q96RI1	nan	NR1H4	NR1H4	Germ.oogonia_meiotic|Somatic.preGC_IIb	Somatic.preGC_IIb
CPI-CS0FF6E7611	Histamine_byHDC_HRH1	complex:Histamine_byHDC	simple:P35367	nan	HRH1	NFKB1	Germ.oogonia_meiotic|Somatic.preGC_IIb	Somatic.preGC_IIb
CPI-CS019C00E02	Androsterone_byHSD17B6_NR1H4	complex:Androsterone_byHSD17B6	simple:Q96RI1	nan	NR1H4	NR1H4	Somatic.preGC_IIb|Germ.oogonia_STRA8	Somatic.preGC_IIb
CPI-CS08D535BCF	22Hydroxycholesterol_byCYP11A1_NR1H4	complex:22Hydroxycholesterol_byCYP11A1	simple:Q96RI1	nan	NR1H4	NR1H4	Somatic.preGC_IIb|Germ.oogonia_STRA8	Somatic.preGC_IIb
CPI-CS0FF6E7611	Histamine_byHDC_HRH1	complex:Histamine_byHDC	simple:P35367	nan	HRH1	NFKB1	Somatic.preGC_IIb|Germ.oogonia_STRA8	Somatic.preGC_IIb
CPI-CS019C00E02	Androsterone_byHSD17B6_NR1H4	complex:Androsterone_byHSD17B6	simple:Q96RI1	nan	NR1H4	NR1H4	Somatic.preGC_IIb|Germ.oogonia_meiotic	Somatic.preGC_IIb
CPI-CS08D535BCF	22Hydroxycholesterol_byCYP11A1_NR1H4	complex:22Hydroxycholesterol_byCYP11A1	simple:Q96RI1	nan	NR1H4	NR1H4	Somatic.preGC_IIb|Germ.oogonia_meiotic	Somatic.preGC_IIb
CPI-CS0FF6E7611	Histamine_byHDC_HRH1	complex:Histamine_byHDC	simple:P35367	nan	HRH1	NFKB1	Somatic.preGC_IIb|Germ.oogonia_meiotic	Somatic.preGC_IIb
CPI-CS019C00E02	Androsterone_byHSD17B6_NR1H4	complex:Androsterone_byHSD17B6	simple:Q96RI1	nan	NR1H4	NR1H4	Somatic.preGC_IIb|Somatic.preGC_IIb	Somatic.preGC_IIb
CPI-CS08D535BCF	22Hydroxycholesterol_byCYP11A1_NR1H4	complex:22Hydroxycholesterol_byCYP11A1	simple:Q96RI1	nan	NR1H4	NR1H4	Somatic.preGC_IIb|Somatic.preGC_IIb	Somatic.preGC_IIb
CPI-CS0FF6E7611	Histamine_byHDC_HRH1	complex:Histamine_byHDC	simple:P35367	nan	HRH1	NFKB1	Somatic.preGC_IIb|Somatic.preGC_IIb	Somatic.preGC_IIb
CPI-SS076940BCD	LGALS3_MERTK	simple:P17931	simple:Q12866	LGALS3	MERTK	STAT1	Germ.oocyte|Germ.oocyte	Germ.oocyte
CPI-SS0F7FF099C	GAS6_MERTK	simple:Q14393	simple:Q12866	GAS6	MERTK	STAT1	Germ.oocyte|Germ.oocyte	Germ.oocyte
CPI-SS04F1CBF06	NTN1_DCC	simple:O95631	simple:P43146	NTN1	DCC	OTX2	Germ.oocyte|Germ.oocyte	Germ.oocyte
CPI-SS052ADA696	JAG1_NOTCH1	simple:P78504	simple:P46531	JAG1	NOTCH1	HEY2	Germ.oocyte|Germ.oocyte	Germ.oocyte
CPI-CS019C00E02	Androsterone_byHSD17B6_NR1H4	complex:Androsterone_byHSD17B6	simple:Q96RI1	nan	NR1H4	NR1H4	Germ.oocyte|Somatic.granulosa	Somatic.granulosa
CPI-CS08D535BCF	22Hydroxycholesterol_byCYP11A1_NR1H4	complex:22Hydroxycholesterol_byCYP11A1	simple:Q96RI1	nan	NR1H4	NR1H4	Germ.oocyte|Somatic.granulosa	Somatic.granulosa
CPI-SS06E797E50	EFNB1_EPHB2	simple:P98172	simple:P29323	EFNB1	EPHB2	ELK1	Germ.oocyte|Somatic.granulosa	Somatic.granulosa
CPI-SS09D9D6811	EFNB1_EPHB4	simple:P98172	simple:P54760	EFNB1	EPHB4	ELK1	Germ.oocyte|Somatic.granulosa	Somatic.granulosa
CPI-SS076940BCD	LGALS3_MERTK	simple:P17931	simple:Q12866	LGALS3	MERTK	STAT1	Germ.oocyte|Somatic.granulosa	Germ.oocyte
CPI-SS0F7FF099C	GAS6_MERTK	simple:Q14393	simple:Q12866	GAS6	MERTK	STAT1	Germ.oocyte|Somatic.granulosa	Germ.oocyte
CPI-SS04F1CBF06	NTN1_DCC	simple:O95631	simple:P43146	NTN1	DCC	OTX2	Germ.oocyte|Somatic.granulosa	Germ.oocyte
CPI-SS052ADA696	JAG1_NOTCH1	simple:P78504	simple:P46531	JAG1	NOTCH1	HES1	Germ.oocyte|Somatic.granulosa	Somatic.granulosa
CPI-SS060B82BBC	JAG1_NOTCH2	simple:P78504	simple:Q04721	JAG1	NOTCH2	HES1	Germ.oocyte|Somatic.granulosa	Somatic.granulosa
CPI-SS035E5A708	DLL3_NOTCH3	simple:Q9NYJ7	simple:Q9UM47	DLL3	NOTCH3	HES4	Germ.oocyte|Somatic.granulosa	Somatic.granulosa
CPI-SS0B99F22A2	JAG1_NOTCH3	simple:P78504	simple:Q9UM47	JAG1	NOTCH3	HES4	Germ.oocyte|Somatic.granulosa	Somatic.granulosa
CPI-CS019C00E02	Androsterone_byHSD17B6_NR1H4	complex:Androsterone_byHSD17B6	simple:Q96RI1	nan	NR1H4	NR1H4	Somatic.granulosa|Germ.oocyte	Somatic.granulosa
CPI-CS08D535BCF	22Hydroxycholesterol_byCYP11A1_NR1H4	complex:22Hydroxycholesterol_byCYP11A1	simple:Q96RI1	nan	NR1H4	NR1H4	Somatic.granulosa|Germ.oocyte	Somatic.granulosa
CPI-SS06E797E50	EFNB1_EPHB2	simple:P98172	simple:P29323	EFNB1	EPHB2	ELK1	Somatic.granulosa|Germ.oocyte	Somatic.granulosa
CPI-SS09D9D6811	EFNB1_EPHB4	simple:P98172	simple:P54760	EFNB1	EPHB4	ELK1	Somatic.granulosa|Germ.oocyte	Somatic.granulosa
CPI-SS076940BCD	LGALS3_MERTK	simple:P17931	simple:Q12866	LGALS3	MERTK	STAT1	Somatic.granulosa|Germ.oocyte	Germ.oocyte
CPI-SS0F7FF099C	GAS6_MERTK	simple:Q14393	simple:Q12866	GAS6	MERTK	STAT1	Somatic.granulosa|Germ.oocyte	Germ.oocyte
CPI-SS04F1CBF06	NTN1_DCC	simple:O95631	simple:P43146	NTN1	DCC	OTX2	Somatic.granulosa|Germ.oocyte	Germ.oocyte
CPI-SS052ADA696	JAG1_NOTCH1	simple:P78504	simple:P46531	JAG1	NOTCH1	HES1	Somatic.granulosa|Germ.oocyte	Somatic.granulosa
CPI-SS060B82BBC	JAG1_NOTCH2	simple:P78504	simple:Q04721	JAG1	NOTCH2	HES1	Somatic.granulosa|Germ.oocyte	Somatic.granulosa
CPI-SS035E5A708	DLL3_NOTCH3	simple:Q9NYJ7	simple:Q9UM47	DLL3	NOTCH3	HES4	Somatic.granulosa|Germ.oocyte	Somatic.granulosa
CPI-SS0B99F22A2	JAG1_NOTCH3	simple:P78504	simple:Q9UM47	JAG1	NOTCH3	HES4	Somatic.granulosa|Germ.oocyte	Somatic.granulosa
CPI-CS019C00E02	Androsterone_byHSD17B6_NR1H4	complex:Androsterone_byHSD17B6	simple:Q96RI1	nan	NR1H4	NR1H4	Somatic.granulosa|Somatic.granulosa	Somatic.granulosa
CPI-CS08D535BCF	22Hydroxycholesterol_byCYP11A1_NR1H4	complex:22Hydroxycholesterol_byCYP11A1	simple:Q96RI1	nan	NR1H4	NR1H4	Somatic.granulosa|Somatic.granulosa	Somatic.granulosa
CPI-SS06E797E50	EFNB1_EPHB2	simple:P98172	simple:P29323	EFNB1	EPHB2	ELK1	Somatic.granulosa|Somatic.granulosa	Somatic.granulosa
CPI-SS09D9D6811	EFNB1_EPHB4	simple:P98172	simple:P54760	EFNB1	EPHB4	ELK1	Somatic.granulosa|Somatic.granulosa	Somatic.granulosa
CPI-SS052ADA696	JAG1_NOTCH1	simple:P78504	simple:P46531	JAG1	NOTCH1	HES1	Somatic.granulosa|Somatic.granulosa	Somatic.granulosa
CPI-SS060B82BBC	JAG1_NOTCH2	simple:P78504	simple:Q04721	JAG1	NOTCH2	HES1	Somatic.granulosa|Somatic.granulosa	Somatic.granulosa
CPI-SS035E5A708	DLL3_NOTCH3	simple:Q9NYJ7	simple:Q9UM47	DLL3	NOTCH3	HES4	Somatic.granulosa|Somatic.granulosa	Somatic.granulosa
CPI-SS0B99F22A2	JAG1_NOTCH3	simple:P78504	simple:Q9UM47	JAG1	NOTCH3	HES4	Somatic.granulosa|Somatic.granulosa	Somatic.granulosa
