id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	Germ.PGC|Germ.PGC	Germ.PGC|Somatic.OSE	Germ.PGC|Somatic.preGC_IIa	Somatic.OSE|Germ.PGC	Somatic.OSE|Somatic.OSE	Somatic.OSE|Somatic.preGC_IIa	Somatic.preGC_IIa|Germ.PGC	Somatic.preGC_IIa|Somatic.OSE	Somatic.preGC_IIa|Somatic.preGC_IIa	Germ.oogonia_STRA8|Germ.oogonia_STRA8	Germ.oogonia_STRA8|Germ.oogonia_meiotic	Germ.oogonia_STRA8|Somatic.preGC_IIb	Germ.oogonia_meiotic|Germ.oogonia_STRA8	Germ.oogonia_meiotic|Germ.oogonia_meiotic	Germ.oogonia_meiotic|Somatic.preGC_IIb	Somatic.preGC_IIb|Germ.oogonia_STRA8	Somatic.preGC_IIb|Germ.oogonia_meiotic	Somatic.preGC_IIb|Somatic.preGC_IIb	Germ.oocyte|Germ.oocyte	Germ.oocyte|Somatic.granulosa	Somatic.granulosa|Germ.oocyte	Somatic.granulosa|Somatic.granulosa
CPI-SC0A2DB962D	CDH1_integrin_a2b1_complex	simple:P12830	complex:integrin_a2b1_complex	CDH1		False	False	False	curated	True	Adhesion-Adhesion	Adhesion by Cadherin	0.084	0.148	0.094	0.098	0.162	0.108	0.173	0.238	0.183	0.046	0.033	0.17	0.061	0.048	0.185	0.206	0.193	0.33	0.212	0.887	0.103	0.778
CPI-SC0B5CEA47D	COL10A1_integrin_a2b1_complex	simple:Q03692	complex:integrin_a2b1_complex	COL10A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.044	0.11	0.055	0.0	0.0	0.0	0.044	0.11	0.055	0.031	0.018	0.155	0.032	0.019	0.156	0.0	0.0	0.0	0.0	0.0	0.014	0.689
CPI-SC0C8B7BCBB	COL11A1_integrin_a2b1_complex	simple:P12107	complex:integrin_a2b1_complex	COL11A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.058	0.123	0.068	2.078	2.143	2.088	1.044	1.109	1.054	0.062	0.049	0.186	0.082	0.069	0.206	0.955	0.942	1.079	0.069	0.745	0.651	1.326
CPI-SC0D3C12C3F	COL11A2_integrin_a2b1_complex	simple:P13942	complex:integrin_a2b1_complex	COL11A2		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.048	0.114	0.059	0.046	0.11	0.056	0.046	0.111	0.056	0.068	0.055	0.192	0.066	0.053	0.19	0.034	0.022	0.158	0.016	0.692	0.014	0.689
CPI-SC0B86B7CED	COL12A1_integrin_a2b1_complex	simple:Q99715	complex:integrin_a2b1_complex	COL12A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.047	0.112	0.057	0.063	0.128	0.074	0.06	0.125	0.071	0.04	0.027	0.164	0.038	0.026	0.162	0.042	0.029	0.166	0.02	0.695	0.036	0.712
CPI-SC0FA343CEF	COL13A1_integrin_a2b1_complex	simple:Q5TAT6	complex:integrin_a2b1_complex	COL13A1		False	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.07	0.136	0.081	0.045	0.11	0.055	0.053	0.118	0.064	0.044	0.032	0.168	0.036	0.023	0.16	0.034	0.021	0.158	0.023	0.699	0.015	0.691
CPI-SC0CCCF9A7F	COL14A1_integrin_a2b1_complex	simple:Q05707	complex:integrin_a2b1_complex	COL14A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.128	0.192	0.138	0.082	0.148	0.093	0.102	0.166	0.112	0.126	0.113	0.25	0.212	0.199	0.336	0.138	0.125	0.262	0.06	0.736	1.014	1.689
CPI-SC0E85E1FB0	COL15A1_integrin_a2b1_complex	simple:P39059	complex:integrin_a2b1_complex	COL15A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.05	0.115	0.06	0.067	0.132	0.078	0.063	0.128	0.074	0.036	0.024	0.16	0.033	0.02	0.157	0.036	0.023	0.16	0.021	0.696	0.029	0.705
CPI-SC0956F4A31	COL16A1_integrin_a2b1_complex	simple:Q07092	complex:integrin_a2b1_complex	COL16A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.054	0.118	0.064	0.096	0.16	0.106	0.054	0.119	0.064	0.043	0.03	0.167	0.096	0.083	0.22	0.035	0.022	0.159	0.022	0.698	0.06	0.736
CPI-SC06EEEC092	COL17A1_integrin_a2b1_complex	simple:Q9UMD9	complex:integrin_a2b1_complex	COL17A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.094	0.158	0.104	0.0	0.0	0.0	0.048	0.112	0.058	0.031	0.018	0.155	0.152	0.139	0.276	0.032	0.02	0.156	0.032	0.708	0.0	0.0
