id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	rank	Germ.PGC|Germ.PGC	Germ.PGC|Somatic.OSE	Germ.PGC|Somatic.preGC_IIa	Somatic.OSE|Germ.PGC	Somatic.OSE|Somatic.OSE	Somatic.OSE|Somatic.preGC_IIa	Somatic.preGC_IIa|Germ.PGC	Somatic.preGC_IIa|Somatic.OSE	Somatic.preGC_IIa|Somatic.preGC_IIa	Germ.oogonia_STRA8|Germ.oogonia_STRA8	Germ.oogonia_STRA8|Germ.oogonia_meiotic	Germ.oogonia_STRA8|Somatic.preGC_IIb	Germ.oogonia_meiotic|Germ.oogonia_STRA8	Germ.oogonia_meiotic|Germ.oogonia_meiotic	Germ.oogonia_meiotic|Somatic.preGC_IIb	Somatic.preGC_IIb|Germ.oogonia_STRA8	Somatic.preGC_IIb|Germ.oogonia_meiotic	Somatic.preGC_IIb|Somatic.preGC_IIb	Germ.oocyte|Germ.oocyte	Germ.oocyte|Somatic.granulosa	Somatic.granulosa|Germ.oocyte	Somatic.granulosa|Somatic.granulosa
CPI-SC092A2325E	COL14A1_integrin_a11b1_complex	simple:Q05707	complex:integrin_a11b1_complex	COL14A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.045																					1.229	
CPI-SS0D9DE7106	DAG1_NRXN3	simple:Q14118	simple:Q9HDB5	DAG1	NRXN3	True	True	False	curated	False	Ligand-Receptor		0.045																					0.673	
CPI-CS0FF6E7611	Histamine_byHDC_HRH1	complex:Histamine_byHDC	simple:P35367		HRH1	True	False	True	curated	False	Ligand-Receptor	Signaling by Histamine	0.045																				0.579		
CPI-SS0FF2EEAE8	WNT5B_SFRP1	simple:Q9H1J7	simple:Q8N474	WNT5B	SFRP1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.045		5.225																				
CPI-SS06D13FCD3	DSC2_DSG2	simple:Q02487	simple:Q14126	DSC2	DSG2	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Desmosome	0.045																						0.932
CPI-SC0AB5FBF10	COL14A1_integrin_a1b1_complex	simple:Q05707	complex:integrin_a1b1_complex	COL14A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.045																						1.281
CPI-SS06E797E50	EFNB1_EPHB2	simple:P98172	simple:P29323	EFNB1	EPHB2	False	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.045																						0.647
CPI-SC0DDF53DDB	BMP6_BMPR1B_BMPR2	simple:P22004	complex:BMPR1B_BMPR2	BMP6		True	False	True	curated	False	Ligand-Receptor	Signaling by BMP	0.045																				0.406		
CPI-SC0F73E951B	WNT6_FZD7_LRP6	simple:Q9Y6F9	complex:FZD7_LRP6	WNT6		True	False	False	curated	False	Ligand-Receptor	Signaling by WNT	0.045																						1.572
CPI-SS04829AC68	GJA1_GJA1	simple:P17302	simple:P17302	GJA1	GJA1	False	False	False	curated	False	Gap-Gap	Adhesion by GAP junction	0.045																		1.407				
CPI-SS06D2944B5	COL4A4_ADGRG6	simple:P53420	simple:Q86SQ4	COL4A4	ADGRG6	True	False	True	curated	False	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.045																					1.944	
CPI-SS0DD3733E8	CLSTN1_NRXN3	simple:O94985	simple:Q9HDB5	CLSTN1	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Calsyntenin	0.045																					0.824	
CPI-SC0AB470FD0	WNT10A_FZD7_LRP6	simple:Q9GZT5	complex:FZD7_LRP6	WNT10A		True	False	False	curated	False	Ligand-Receptor	Signaling by WNT	0.045						0.534																
CPI-SC0CBE0F4A0	WNT6_FZD7_LRP5	simple:Q9Y6F9	complex:FZD7_LRP5	WNT6		True	False	False	curated	False	Ligand-Receptor	Signaling by WNT	0.045																						1.572
CPI-SS0A9F17199	PYY_NPY1R	simple:P10082	simple:P25929	PYY	NPY1R	True	False	True	curated	False	Ligand-Receptor	Signaling by Peptide YY	0.045			2.226																			
CPI-SS0C93E48D7	THBS1_CD36	simple:P07996	simple:P16671	THBS1	CD36	False	False	True	curated	False	Ligand-Receptor	Signaling by Thrombospondin precursor	0.045																					0.553	
CPI-SS0DBA22B92	CHL1_CHL1	simple:O00533	simple:O00533	CHL1	CHL1	True	False	False	curated	False	Adhesion-Adhesion		0.045																						0.492
CPI-SS0118D1B89	THY1_ADGRE5	simple:P04216	simple:P48960	THY1	ADGRE5	True	False	True	curated	False	Adhesion-Adhesion	Adhesion by antigen THY1	0.045	1.611																					
CPI-SS015BF69EE	COL4A1_ADGRG6	simple:P02462	simple:Q86SQ4	COL4A1	ADGRG6	True	False	True	curated	False	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.045																					2.359	
CPI-SC04CBB7552	WNT6_FZD6_LRP5	simple:Q9Y6F9	complex:FZD6_LRP5	WNT6		True	False	False	curated	False	Ligand-Receptor	Signaling by WNT	0.045																						1.547
CPI-CS0D9BFD8AF	Glutamate_byGLS2_and_SLC1A6_GRIK2	complex:Glutamate_byGLS2_and_SLC1A6	simple:Q13002		GRIK2	True	False	True	curated	False	Ligand-Receptor	Signaling by Glutamate	0.045																			0.452			
CPI-SS03446CB39	EFNB1_EPHA4	simple:P98172	simple:P54764	EFNB1	EPHA4	False	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.045																						0.558
CPI-SS085E14488	NRXN1_DAG1	simple:Q9ULB1	simple:Q14118	NRXN1	DAG1	True	False	True	curated	False	Receptor-Receptor	Signaling by Neurexin	0.045																				0.843		
CPI-SS0AADAB219	COL4A3_ADGRG6	simple:Q01955	simple:Q86SQ4	COL4A3	ADGRG6	True	False	True	curated	False	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.045																					1.595	
CPI-CC048F01E8D	atRetinoicAcid_byALDH1A1_RAreceptor_RARA_RXRA	complex:atRetinoicAcid_byALDH1A1	complex:RAreceptor_RARA_RXRA			True	False	True	curated	False	Ligand-Receptor	Signaling by Retinoic Acid	0.045																0.926						
CPI-SC065DB6486	COL21A1_integrin_a1b1_complex	simple:Q96P44	complex:integrin_a1b1_complex	COL21A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.045																						0.448
CPI-SC0713C9654	COL22A1_integrin_a1b1_complex	simple:Q8NFW1	complex:integrin_a1b1_complex	COL22A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.045																				0.655		
CPI-CS0940331BF	Glutamate_byGLS2_and_SLC17A7_GRIK2	complex:Glutamate_byGLS2_and_SLC17A7	simple:Q13002		GRIK2	True	False	True	curated	False	Ligand-Receptor	Signaling by Glutamate	0.045																			0.5			
