cluster	gene	p_val_adj	p_val	avg_log2FC	pct.1	pct.2
Endothelial ACKR1	ACKR1	1.5695111265796474e-88	7.482770567721799e-93	4.304509300689986	0.73	0.032
Endothelial ACKR1	VWF	5.773336603198767e-87	2.7524846737538817e-91	2.523726269174155	0.85	0.058
Endothelial ACKR1	EGFL7	4.270427435950328e-77	2.0359606369250672e-81	2.492629190788217	0.9	0.089
Endothelial ACKR1	CCL14	1.6374176230739427e-71	7.806520253034292e-76	1.9133099334071695	0.61	0.009
Endothelial ACKR1	CXorf36	2.0002805896367785e-65	9.536498639507882e-70	1.569050164155579	0.68	0.022
Endothelial ACKR1	ITM2A	4.731394806073168e-63	2.2557305392482326e-67	2.1323920024823875	0.81	0.061
Endothelial ACKR1	PECAM1	4.978750529320714e-63	2.373659370355525e-67	2.143152905220721	0.86	0.082
Endothelial ACKR1	MMRN1	1.4333674698531675e-61	6.833694731123563e-66	1.897424148911645	0.54	0.014
Endothelial ACKR1	B2M	5.104768282440122e-59	2.4337393480048256e-63	1.4351212930274908	1.0	0.998
Endothelial ACKR1	PLVAP	2.9427994036175436e-58	1.4030032913552056e-62	1.7428143458796608	0.58	0.017
Endothelial ACKR1	ECSCR-1	3.875684232857748e-58	1.8477636390263398e-62	1.9087347511588917	0.74	0.041
Endothelial ACKR1	AQP1	3.397008419721151e-54	1.6195510940267705e-58	2.5038708126545735	0.76	0.069
Endothelial ACKR1	RAMP3	3.585384001988742e-54	1.709360668409412e-58	1.5975125757763686	0.57	0.022
Endothelial ACKR1	IFITM3	1.431277937342667e-50	6.823732716770761e-55	1.7730725483259038	1.0	0.881
Endothelial ACKR1	CD59	2.598117413988252e-50	1.2386733797321822e-54	1.7183310705732	0.96	0.686
Endothelial ACKR1	FAM167B	5.125847296318975e-50	2.443788937458391e-54	1.6888879895256257	0.57	0.033
Endothelial ACKR1	IFITM2	1.6342274750466275e-48	7.791310965657341e-53	1.7776816295817763	0.98	0.654
Endothelial ACKR1	LDB2	1.5825864483753899e-47	7.545108216330822e-52	1.6280317721533561	0.78	0.098
Endothelial ACKR1	FAM110D	2.589701988180315e-47	1.2346612577736899e-51	1.5595690878327633	0.57	0.025
Endothelial ACKR1	HLA-E	2.7559856763897484e-47	1.3139383439283664e-51	1.6376784723469808	0.96	0.794
Endothelial ACKR1	RNASE1	3.8513010219736475e-47	1.8361387470672932e-51	1.9439804482730516	0.92	0.124
Endothelial ACKR1	TSPAN7	4.948319340769135e-47	2.3591510563857613e-51	1.7361981820332288	0.73	0.106
Endothelial ACKR1	ZNF385D	9.266283078529995e-47	4.417775007642429e-51	0.9947415106839708	0.45	0.008
Endothelial ACKR1	HYAL2	1.9740869521840994e-46	9.411618365597612e-51	1.8112035262231718	0.79	0.251
Endothelial ACKR1	SDPR	5.591785031101e-46	2.665928501120858e-50	1.9779432182592471	0.71	0.056
Endothelial ACKR1	GIMAP7	6.706018404337033e-46	3.1971482261439966e-50	1.7530417066899273	0.74	0.08
Endothelial ACKR1	NPDC1	6.844796220463534e-46	3.263311666490362e-50	1.6516217055307232	0.84	0.479
Endothelial ACKR1	TMEM88	2.8057203106626255e-45	1.3376497309476164e-49	1.677567298264657	0.6	0.063
Endothelial ACKR1	SPARCL1	3.6069968447153174e-45	1.719664765060938e-49	1.9389578721840617	1.0	0.529
Endothelial ACKR1	CLDN5	2.063448835676265e-44	9.83765833457099e-49	2.112140997665434	0.89	0.101
Endothelial ACKR1	LIFR	2.1436701166595948e-44	1.0220119745695326e-48	1.9607646227008844	0.74	0.167
Endothelial ACKR1	ADGRL4	2.404004754098685e-44	1.1461286074367987e-48	1.6952647835390173	0.77	0.056
Endothelial ACKR1	GIMAP4	3.907066837424128e-44	1.8627255482355795e-48	1.5617672195190213	0.67	0.075
Endothelial ACKR1	ENPP2	1.288489014105644e-43	6.142975037452414e-48	2.3107522283916047	0.84	0.14
Endothelial ACKR1	VAMP5	3.868836365223783e-43	1.844498863038752e-47	1.7911071644241296	0.86	0.257
Endothelial ACKR1	ESAM	1.0342271052362587e-42	4.930760930804571e-47	1.6052718418842926	0.8	0.084
Endothelial ACKR1	LCN6	2.756448697136574e-42	1.3141590927945525e-46	1.9124303179179154	0.56	0.023
Endothelial ACKR1	CAV1	3.1984142023451934e-42	1.5248697031443116e-46	1.9664756886017065	0.97	0.393
Endothelial ACKR1	EMCN	3.2199708158331086e-42	1.5351469920539254e-46	1.664215675849685	0.75	0.045
Endothelial ACKR1	CLEC14A	4.190644430833933e-42	1.9979234473582517e-46	1.8298486281289046	0.83	0.054
Endothelial ACKR1	KANK3	4.7170392891085e-42	2.248886431041001e-46	1.1768135931426282	0.54	0.026
Endothelial ACKR1	LEPR	3.2392662438545325e-41	1.5443462426004922e-45	1.705262291265915	0.7	0.089
Endothelial ACKR1	FKBP1A	7.715325831266813e-41	3.678343662105751e-45	1.5238585413000734	0.91	0.734
Endothelial ACKR1	GIMAP1	7.1928556862273186e-40	3.4292518170332866e-44	1.2778642650174945	0.6	0.052
Endothelial ACKR1	ENG	1.1534415273913026e-39	5.499125279577128e-44	1.7199449897260215	0.68	0.221
Endothelial ACKR1	RPS28	1.3281490221016348e-39	6.332057316336757e-44	0.8771644937603025	1.0	0.991
Endothelial ACKR1	SH3BP5	2.3447926176111995e-39	1.117898744987461e-43	1.5653640558944037	0.71	0.221
Endothelial ACKR1	CRIP2	4.614280026483177e-39	2.1998951258561035e-43	1.5472561876226225	0.95	0.569
Endothelial ACKR1	KLF2	8.350332218503967e-39	3.981088066032881e-43	2.219231922015072	0.84	0.303
Endothelial ACKR1	RAMP2	1.1273952230303797e-38	5.374947428035183e-43	1.8796340800454143	0.83	0.305
Endothelial ACKR1	NOSTRIN	9.309857055991205e-38	4.438549251962434e-42	1.2076213218887206	0.55	0.137
Endothelial ACKR1	LMCD1	2.0463992210404366e-37	9.756372925103393e-42	1.5359089266692696	0.75	0.134
Endothelial ACKR1	FXYD5	2.7717375500631228e-37	1.321448176430571e-41	1.5222629123308213	0.79	0.191
Endothelial ACKR1	SNHG7	8.9555717589032e-37	4.2696408862470556e-41	1.543468123047933	0.86	0.547
Endothelial ACKR1	HLA-B	2.0651558161576715e-36	9.845796501347659e-41	1.3484737038844181	0.99	0.878
