id_cp_interaction,partner_receptor,partner_TF,protein_name_receptor,protein_name_TF,receptor_id,TF_symbol,Effect,Source,Curator,Xrefs_or_figures,Brivanlou_class
,ACVL1_ACVR2A,O15198,,SMAD9_HUMAN,ACVL1_ACVR2A,SMAD9,1,Uniprot;PMID:25136781,LGarciaAlonso,https://www.jbc.org/content/273/40/25628/F9.medium.gif,IIB3b_RL_signal_dependent_cytoplasmic
,ACVL1_ACVR2A,Q15797,,SMAD1_HUMAN,ACVL1_ACVR2A,SMAD1,1,Uniprot;PMID:25136781,LGarciaAlonso,https://www.jbc.org/content/273/40/25628/F9.medium.gif,IIB3b_RL_signal_dependent_cytoplasmic
,ACVL1_ACVR2A,Q99717,,SMAD5_HUMAN,ACVL1_ACVR2A,SMAD5,1,Uniprot;PMID:25136781,LGarciaAlonso,https://www.jbc.org/content/273/40/25628/F9.medium.gif,IIB3b_RL_signal_dependent_cytoplasmic
,ACVL1_BMPR2,O15198,,SMAD9_HUMAN,ACVL1_BMPR2,SMAD9,1,Uniprot;PMID:25136781,LGarciaAlonso,https://www.jbc.org/content/273/40/25628/F9.medium.gif,IIB3b_RL_signal_dependent_cytoplasmic
,ACVL1_BMPR2,Q15797,,SMAD1_HUMAN,ACVL1_BMPR2,SMAD1,1,Uniprot;PMID:25136781,LGarciaAlonso,https://www.jbc.org/content/273/40/25628/F9.medium.gif,IIB3b_RL_signal_dependent_cytoplasmic
,ACVL1_BMPR2,Q99717,,SMAD5_HUMAN,ACVL1_BMPR2,SMAD5,1,Uniprot;PMID:25136781,LGarciaAlonso,https://www.jbc.org/content/273/40/25628/F9.medium.gif,IIB3b_RL_signal_dependent_cytoplasmic
,ACVR_1A2A_receptor,O15198,,SMAD9_HUMAN,ACVR_1A2A_receptor,SMAD9,1,Uniprot;PMID:25136781,LGarciaAlonso,https://www.jbc.org/content/273/40/25628/F9.medium.gif,IIB3b_RL_signal_dependent_cytoplasmic
,ACVR_1A2A_receptor,Q15797,,SMAD1_HUMAN,ACVR_1A2A_receptor,SMAD1,1,Uniprot;PMID:25136781,LGarciaAlonso,https://www.jbc.org/content/273/40/25628/F9.medium.gif,IIB3b_RL_signal_dependent_cytoplasmic
,ACVR_1A2A_receptor,Q99717,,SMAD5_HUMAN,ACVR_1A2A_receptor,SMAD5,1,Uniprot;PMID:25136781,LGarciaAlonso,https://www.jbc.org/content/273/40/25628/F9.medium.gif,IIB3b_RL_signal_dependent_cytoplasmic
,ACVR_1A2B_receptor,O15198,,SMAD9_HUMAN,ACVR_1A2B_receptor,SMAD9,1,Uniprot;PMID:25136781,LGarciaAlonso,https://www.jbc.org/content/273/40/25628/F9.medium.gif,IIB3b_RL_signal_dependent_cytoplasmic
,ACVR_1A2B_receptor,Q15797,,SMAD1_HUMAN,ACVR_1A2B_receptor,SMAD1,1,Uniprot;PMID:25136781,LGarciaAlonso,https://www.jbc.org/content/273/40/25628/F9.medium.gif,IIB3b_RL_signal_dependent_cytoplasmic
,ACVR_1A2B_receptor,Q99717,,SMAD5_HUMAN,ACVR_1A2B_receptor,SMAD5,1,Uniprot;PMID:25136781,LGarciaAlonso,https://www.jbc.org/content/273/40/25628/F9.medium.gif,IIB3b_RL_signal_dependent_cytoplasmic
,ACVR_1B2B_receptor,P84022,,SMAD3_HUMAN,ACVR_1B2B_receptor,SMAD3,1,Uniprot;PMID:25136781,LGarciaAlonso,https://www.jbc.org/content/273/40/25628/F9.medium.gif,IIB3b_RL_signal_dependent_cytoplasmic
