id_cp_interaction,partner_a,partner_b,protein_name_a,protein_name_b,annotation_strategy,source,is_ppi,curator,reactome_complex,reactome_reaction,reactome_pathway,complexPortal_complex,comments,version,interactors,classification,directionality,modulatory_effect
,P12830,integrin_a2b1_complex,CADH1_HUMAN,,curated,PMID:12392763,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,CDH1-ITGA2+ITGB1,Adhesion by Cadherin,Adhesion-Adhesion,
,P12830,integrin_aEb7_complex,CADH1_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,CDH1-ITGAE+ITGB7,Adhesion by Cadherin,Adhesion-Adhesion,
,P12830,Q96E93,CADH1_HUMAN,KLRG1_HUMAN,curated,PMC3030123,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,CDH1-KLRG1,Adhesion by Cadherin,Ligand-Receptor,
,P19022,P19022,CADH2_HUMAN,CADH2_HUMAN,curated,uniprot,True,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1,CDH2-CDH2,Adhesion by Cadherin,Adhesion-Adhesion,
,P19022,P06734,CADH2_HUMAN,FCER2_HUMAN,curated,Shilts screen - VALIDATED,True,JShilts,,,,,,CellPhoneDBcore4.1,CDH2-FCER2,Adhesion by Cadherin,Ligand-Receptor,
,P22223,P22223,CADH3_HUMAN,CADH3_HUMAN,curated,uniprot,True,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1,CDH3-CDH3,Adhesion by Cadherin,Adhesion-Adhesion,
,P33151,P33151,CADH5_HUMAN,CADH5_HUMAN,curated,uniprot,True,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1,CDH5-CDH5,Adhesion by Cadherin,Adhesion-Adhesion,
,P55285,P55285,CADH6_HUMAN,CADH6_HUMAN,curated,uniprot,True,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1,CDH6-CDH6,Adhesion by Cadherin,Adhesion-Adhesion,
,Q9ULB5,Q9ULB5,CADH7_HUMAN,CADH7_HUMAN,curated,uniprot,True,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1,CDH7-CDH7,Adhesion by Cadherin,Adhesion-Adhesion,
,Q9BY67,Q9BY67,CADM1_HUMAN,CADM1_HUMAN,curated,PMID:24503895,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,CADM1-CADM1,Adhesion by CADM,Adhesion-Adhesion,
,Q9BY67,Q9NQS3,CADM1_HUMAN,PVRL3_HUMAN,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,CADM1-NECTIN3,Adhesion by CADM,Adhesion-Adhesion,
,Q8N126,Q9BY67,CADM3_HUMAN,CADM1_HUMAN,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,CADM3-CADM1,Adhesion by CADM,Adhesion-Adhesion,
,Q8N126,Q8NFZ8,CADM3_HUMAN,CADM4_HUMAN,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,CADM3-CADM4,Adhesion by CADM,Adhesion-Adhesion,
,Q8N126,Q9H4G0,CADM3_HUMAN,E41L1_HUMAN,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,CADM3-EPB41L1,Adhesion by CADM,Adhesion-Adhesion,
,Q8N126,Q9NQS3,CADM3_HUMAN,PVRL3_HUMAN,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,CADM3-NECTIN3,Adhesion by CADM,Adhesion-Adhesion,
,P13688,Q9NNX6,CEAM1_HUMAN,CD209_HUMAN,curated,PMID:16282604;PMID:16246332,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,CEACAM1-CD209,Adhesion by CEAM,Adhesion-Adhesion,
,P13688,P40199,CEAM1_HUMAN,CEAM6_HUMAN,curated,PMID:21982860,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,CEACAM1-CEACAM6,Adhesion by CEAM,Adhesion-Adhesion,
,P13688,P31997,CEAM1_HUMAN,CEAM8_HUMAN,curated,PMID:24743304,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,CEACAM1-CEACAM8,Adhesion by CEAM,Adhesion-Adhesion,
,P13688,P16581,CEAM1_HUMAN,LYAM2_HUMAN,curated,PMID:1378450,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,CEACAM1-SELE,Adhesion by CEAM,Adhesion-Adhesion,
,P06731,P15813,CEAM5_HUMAN,CD1D_HUMAN,curated,PMID:24104458,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,CEACAM5-CD1D,Adhesion by CEAM,Adhesion-Adhesion,
,P06731,P01732,CEAM5_HUMAN,CD8A_HUMAN,curated,PMID:24104458,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,CEACAM5-CD8A,Adhesion by CEAM,Adhesion-Adhesion,
,P06731,P13688,CEAM5_HUMAN,CEAM1_HUMAN,curated,Induces_NK_Cell_Inhibition._Reviewed_in_PMID:24987108,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,CEACAM5-CEACAM1,Adhesion by CEAM,Adhesion-Adhesion,
,P06731,P40199,CEAM5_HUMAN,CEAM6_HUMAN,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,CEACAM5-CEACAM6,Adhesion by CEAM,Adhesion-Adhesion,
,P40199,P40199,CEAM6_HUMAN,CEAM6_HUMAN,curated,PMID:11590190,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,CEACAM6-CEACAM6,Adhesion by CEAM,Adhesion-Adhesion,
,P31997,P40199,CEAM8_HUMAN,CEAM6_HUMAN,curated,PMID:11590190,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,CEACAM8-CEACAM6,Adhesion by CEAM,Adhesion-Adhesion,
,Q03692,integrin_a1b1_complex,COAA1_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL10A1-ITGA1+ITGB1,Adhesion by Collagen/Integrin,Ligand-Receptor,
,Q03692,integrin_a10b1_complex,COAA1_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL10A1-ITGA10+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q03692,integrin_a11b1_complex,COAA1_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL10A1-ITGA11+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q03692,integrin_a2b1_complex,COAA1_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL10A1-ITGA2+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,P12107,integrin_a1b1_complex,COBA1_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL11A1-ITGA1+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,P12107,integrin_a10b1_complex,COBA1_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL11A1-ITGA10+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,P12107,integrin_a11b1_complex,COBA1_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL11A1-ITGA11+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,P12107,integrin_a2b1_complex,COBA1_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL11A1-ITGA2+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,P13942,integrin_a1b1_complex,COBA2_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL11A2-ITGA1+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,P13942,integrin_a10b1_complex,COBA2_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL11A2-ITGA10+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,P13942,integrin_a11b1_complex,COBA2_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL11A2-ITGA11+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,P13942,integrin_a2b1_complex,COBA2_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL11A2-ITGA2+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q99715,integrin_a1b1_complex,COCA1_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL12A1-ITGA1+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q99715,integrin_a10b1_complex,COCA1_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL12A1-ITGA10+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q99715,integrin_a11b1_complex,COCA1_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL12A1-ITGA11+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q99715,integrin_a2b1_complex,COCA1_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL12A1-ITGA2+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q5TAT6,integrin_a1b1_complex,CODA1_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL13A1-ITGA1+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q5TAT6,integrin_a10b1_complex,CODA1_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL13A1-ITGA10+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q5TAT6,integrin_a11b1_complex,CODA1_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL13A1-ITGA11+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q5TAT6,integrin_a2b1_complex,CODA1_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL13A1-ITGA2+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q05707,integrin_a1b1_complex,COEA1_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL14A1-ITGA1+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q05707,integrin_a10b1_complex,COEA1_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL14A1-ITGA10+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q05707,integrin_a11b1_complex,COEA1_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL14A1-ITGA11+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q05707,integrin_a2b1_complex,COEA1_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL14A1-ITGA2+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,P39059,integrin_a1b1_complex,COFA1_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL15A1-ITGA1+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,P39059,integrin_a10b1_complex,COFA1_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL15A1-ITGA10+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,P39059,integrin_a11b1_complex,COFA1_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL15A1-ITGA11+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,P39059,integrin_a2b1_complex,COFA1_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL15A1-ITGA2+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q07092,integrin_a1b1_complex,COGA1_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL16A1-ITGA1+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q07092,integrin_a10b1_complex,COGA1_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL16A1-ITGA10+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q07092,integrin_a11b1_complex,COGA1_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL16A1-ITGA11+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q07092,integrin_a2b1_complex,COGA1_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL16A1-ITGA2+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q9UMD9,integrin_a1b1_complex,COHA1_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL17A1-ITGA1+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q9UMD9,integrin_a10b1_complex,COHA1_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL17A1-ITGA10+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q9UMD9,integrin_a11b1_complex,COHA1_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL17A1-ITGA11+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q9UMD9,integrin_a2b1_complex,COHA1_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL17A1-ITGA2+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,P39060,integrin_a1b1_complex,COIA1_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL18A1-ITGA1+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,P39060,integrin_a10b1_complex,COIA1_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL18A1-ITGA10+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,P39060,integrin_a11b1_complex,COIA1_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL18A1-ITGA11+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,P39060,integrin_a2b1_complex,COIA1_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL18A1-ITGA2+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q14993,integrin_a1b1_complex,COJA1_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL19A1-ITGA1+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q14993,integrin_a10b1_complex,COJA1_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL19A1-ITGA10+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q14993,integrin_a11b1_complex,COJA1_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL19A1-ITGA11+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q14993,integrin_a2b1_complex,COJA1_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL19A1-ITGA2+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,P02452,integrin_a1b1_complex,CO1A1_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL1A1-ITGA1+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,P02452,integrin_a10b1_complex,CO1A1_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL1A1-ITGA10+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,P02452,integrin_a11b1_complex,CO1A1_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL1A1-ITGA11+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,P02452,integrin_a2b1_complex,CO1A1_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL1A1-ITGA2+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,P08123,integrin_a1b1_complex,CO1A2_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL1A2-ITGA1+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,P08123,integrin_a10b1_complex,CO1A2_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL1A2-ITGA10+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,P08123,integrin_a11b1_complex,CO1A2_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL1A2-ITGA11+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
