uniprot,protein_name,transmembrane,peripheral,secreted,secreted_desc,secreted_highlight,receptor,receptor_desc,integrin,biosynthetic_pathway_desc,biosynthetic_pathway,other,other_desc,tags,tags_reason,tags_description,pfam,version
P03372,ESR1_HUMAN,FALSE,TRUE,FALSE,,FALSE,TRUE,,FALSE,,FALSE,FALSE,,,,,,CellPhoneDBcore<=4.0
Q92753,RORB_HUMAN,FALSE,FALSE,FALSE,,FALSE,TRUE,,FALSE,,FALSE,FALSE,,,,,,CellPhoneDBcore<=4.0
O95477,ABCA1_HUMAN,TRUE,FALSE,FALSE,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,,,,,CellPhoneDBcore<=4.0
Q13133,NR1H3_HUMAN,FALSE,FALSE,FALSE,,FALSE,TRUE,,FALSE,,FALSE,FALSE,,,,,,CellPhoneDBcore<=4.0
P04150,GCR_HUMAN,FALSE,FALSE,FALSE,,FALSE,TRUE,,FALSE,,FALSE,FALSE,,,,,,CellPhoneDBcore<=4.0
Q7Z5A7,TAFA5_HUMAN,FALSE,FALSE,TRUE,,TRUE,FALSE,,FALSE,,FALSE,FALSE,,,,,,CellPhoneDBcore<=4.0
Q9UNN8,PROCR_HUMAN,FALSE,FALSE,FALSE,,FALSE,TRUE,,FALSE,,FALSE,FALSE,,,,,,CellPhoneDBcore<=4.0
Q96LR4,TAFA4_HUMAN,FALSE,FALSE,TRUE,,TRUE,FALSE,,FALSE,,FALSE,FALSE,,,,,,CellPhoneDBcore<=4.0
O60883,G37L1_HUMAN,TRUE,FALSE,FALSE,,FALSE,TRUE,,FALSE,,FALSE,FALSE,,,,,,CellPhoneDBcore<=4.0
Q96RI1,NR1H4_HUMAN,FALSE,FALSE,FALSE,,FALSE,TRUE,,FALSE,,FALSE,FALSE,,,,,,CellPhoneDBcore<=4.0
P30533,AMRP_HUMAN,FALSE,FALSE,FALSE,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,,,,,CellPhoneDBcore<=4.0
O75787,RENR_HUMAN,TRUE,FALSE,FALSE,,FALSE,TRUE,,FALSE,,FALSE,FALSE,,,,,,CellPhoneDBcore<=4.0
P10275,ANDR_HUMAN,FALSE,FALSE,FALSE,,FALSE,TRUE,,FALSE,,FALSE,FALSE,,,,,,CellPhoneDBcore<=4.0
Q96CM4,NXNL1_HUMAN,FALSE,FALSE,FALSE,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,,,,,CellPhoneDBcore<=4.0
P55055,NR1H2_HUMAN,FALSE,FALSE,FALSE,,FALSE,TRUE,,FALSE,,FALSE,FALSE,,,,,,CellPhoneDBcore<=4.0
P35398,RORA_HUMAN,FALSE,FALSE,FALSE,,FALSE,TRUE,,FALSE,,FALSE,FALSE,,,,,,CellPhoneDBcore<=4.0
P10827,THA_HUMAN,FALSE,FALSE,FALSE,,FALSE,TRUE,,FALSE,,FALSE,FALSE,,,,,,CellPhoneDBcore<=4.0
P51449,RORG_HUMAN,FALSE,FALSE,FALSE,,FALSE,TRUE,,FALSE,,FALSE,FALSE,,,,,,CellPhoneDBcore<=4.0
Q6UWK7,GP15L_HUMAN,FALSE,FALSE,TRUE,,TRUE,FALSE,,FALSE,,FALSE,FALSE,,,,,,CellPhoneDBcore<=4.0
P35442,TSP2_HUMAN,FALSE,FALSE,FALSE,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,,,,,CellPhoneDBcore<=4.0
P02794,FRIH_HUMAN,FALSE,FALSE,FALSE,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,,,,,CellPhoneDBcore<=4.0
P08235,MCR_HUMAN,FALSE,FALSE,FALSE,,FALSE,TRUE,,FALSE,,FALSE,FALSE,,,,,,CellPhoneDBcore<=4.0
P37231,PPARG_HUMAN,FALSE,FALSE,FALSE,,FALSE,TRUE,,FALSE,,FALSE,FALSE,,,,,,CellPhoneDBcore<=4.0
P06401,PRGR_HUMAN,FALSE,FALSE,FALSE,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,,,,,CellPhoneDBcore<=4.0
P10828,THB_HUMAN,FALSE,FALSE,FALSE,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,,,,,CellPhoneDBcore<=4.0
P02792,FRIL_HUMAN,FALSE,FALSE,FALSE,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,,,,,CellPhoneDBcore<=4.0
Q03181,PPARD_HUMAN,FALSE,FALSE,FALSE,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,,,,,CellPhoneDBcore<=4.0
O75469,NR1I2_HUMAN,FALSE,FALSE,FALSE,,FALSE,TRUE,,FALSE,,FALSE,FALSE,,,,,,CellPhoneDBcore<=4.0
Q92731,ESR2_HUMAN,FALSE,FALSE,FALSE,,FALSE,TRUE,,FALSE,,FALSE,FALSE,,,,,,CellPhoneDBcore<=4.0
Q7Z5A9,TAFA1_HUMAN,FALSE,FALSE,TRUE,,TRUE,FALSE,,FALSE,,FALSE,FALSE,,,,,,CellPhoneDBcore<=4.0
P11473,VDR_HUMAN,FALSE,FALSE,FALSE,,FALSE,TRUE,,FALSE,,FALSE,FALSE,,,,,,CellPhoneDBcore<=4.0
Q07869,PPARA_HUMAN,FALSE,FALSE,FALSE,,FALSE,TRUE,,FALSE,,FALSE,FALSE,,,,,,CellPhoneDBcore<=4.0
A5X5Y0,5HT3E_HUMAN,TRUE,FALSE,FALSE,,FALSE,TRUE,,FALSE,,FALSE,FALSE,,,,,,CellPhoneDBcore<=4.0
A6NMZ7,CO6A6_HUMAN,FALSE,FALSE,TRUE,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,,,Collagen,PF01391;PF00092;,CellPhoneDBcore<=4.0
A8TX70,CO6A5_HUMAN,FALSE,FALSE,TRUE,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,,,Collagen,PF01391;PF00092;,CellPhoneDBcore<=4.0
