gene_name,uniprot,hgnc_symbol,ensembl
SULT1A1,P50225,SULT1A1,ENSG00000196502
UBASH3B,Q8TF42,UBASH3B,ENSG00000154127
SRD5A3,Q9H8P0,SRD5A3,ENSG00000128039
SULT2A1,Q06520,SULT2A1,ENSG00000105398
SRD5A2,P31213,SRD5A2,ENSG00000277893
SULT1E1,P49888,SULT1E1,ENSG00000109193
CYP21A2,P08686,CYP21A2,ENSG00000231852
SRD5A1,P18405,SRD5A1,ENSG00000145545
HTR3E,A5X5Y0,HTR3E,ENSG00000186038
COL6A6,A6NMZ7,COL6A6,ENSG00000206384
COL6A5,A8TX70,COL6A5,ENSG00000172752
CCL3L1,P16619,CCL3L1,ENSG00000276085
KLRF2,D3W0D1,KLRF2,ENSG00000256797
HLA-A,HLAA,HLA-A,ENSG00000224320
HLA-A,HLAA,HLA-A,ENSG00000231834
HLA-A,HLAA,HLA-A,ENSG00000235657
HLA-A,HLAA,HLA-A,ENSG00000229215
HLA-A,HLAA,HLA-A,ENSG00000223980
HLA-A,HLAA,HLA-A,ENSG00000206505
HLA-B,HLAB,HLA-B,ENSG00000232126
HLA-B,HLAB,HLA-B,ENSG00000206450
HLA-B,HLAB,HLA-B,ENSG00000228964
HLA-B,HLAB,HLA-B,ENSG00000224608
HLA-B,HLAB,HLA-B,ENSG00000223532
HLA-C,HLAC,HLA-C,ENSG00000206452
HLA-C,HLAC,HLA-C,ENSG00000206435
HLA-C,HLAC,HLA-C,ENSG00000225691
HLA-C,HLAC,HLA-C,ENSG00000228299
HLA-C,HLAC,HLA-C,ENSG00000237022
IFNA1,IFNA1,IFNA1,ENSG00000197919
ERVH48-1,M5A8F1,ERVH48-1,ENSG00000233056
FZD9,O00144,FZD9,ENSG00000188763
CCL24,O00175,CCL24,ENSG00000106178
LGALS9,O00182,LGALS9,ENSG00000168961
TNFRSF10A,O00220,TNFRSF10A,ENSG00000104689
CORT,O00230,CORT,ENSG00000241563
BMPR1B,O00238,BMPR1B,ENSG00000138696
SIRPB1,O00241,SIRPB1,ENSG00000101307
AGRP,O00253,AGRP,ENSG00000159723
LEFTY2,O00292,LEFTY2,ENSG00000143768
TULP1,O00294,TULP1,ENSG00000112041
TNFRSF11B,O00300,TNFRSF11B,ENSG00000164761
CCRL2,O00421,CCRL2,ENSG00000121797
GFRA2,O00451,GFRA2,ENSG00000168546
AGRN,O00468,AGRN,ENSG00000188157
DLL1,O00548,DLL1,ENSG00000275555
DLL1,O00548,DLL1,ENSG00000198719
CXCR6,O00574,CXCR6,ENSG00000172215
RNASET2,O00584,RNASET2,ENSG00000026297
CCL21,O00585,CCL21,ENSG00000137077
ACKR2,O00590,ACKR2,ENSG00000144648
PODXL,O00592,PODXL,ENSG00000128567
CCL22,O00626,CCL22,ENSG00000102962
WNT7A,O00755,WNT7A,ENSG00000154764
NRG2,O14511,NRG2,ENSG00000158458
CXCL11,O14625,CXCL11,ENSG00000169248
PTGES,O14684,PTGES,ENSG00000148344
HSD17B6,O14756,HSD17B6,ENSG00000025423
TNFRSF10B,O14763,TNFRSF10B,ENSG00000120889
NRP1,O14786,NRP1,ENSG00000099250
TNFSF11,O14788,TNFSF11,ENSG00000120659
MSTN,O14793,MSTN,ENSG00000138379
TNFRSF10C,O14798,TNFRSF10C,ENSG00000173535
TNFRSF13B,O14836,TNFRSF13B,ENSG00000240505
WNT9A,O14904,WNT9A,ENSG00000143816
WNT9B,O14905,WNT9B,ENSG00000158955
WNT9B,O14905,WNT9B,ENSG00000276799
NCR3,O14931,NCR3,ENSG00000204475
NCR3,O14931,NCR3,ENSG00000237103
NCR3,O14931,NCR3,ENSG00000225211
NCR3,O14931,NCR3,ENSG00000206430
NCR3,O14931,NCR3,ENSG00000236979
NCR3,O14931,NCR3,ENSG00000223833
NCR3,O14931,NCR3,ENSG00000236315
NCR3,O14931,NCR3,ENSG00000237808
EREG,O14944,EREG,ENSG00000124882
PLXNB2,O15031,PLXNB2,ENSG00000196576
SEMA3E,O15041,SEMA3E,ENSG00000170381
ANGPT2,O15123,ANGPT2,ENSG00000091879
MUSK,O15146,MUSK,ENSG00000030304
EPHB6,O15197,EPHB6,ENSG00000106123
GPR37,O15354,GPR37,ENSG00000170775
CCL25,O15444,CCL25,ENSG00000131142
CCL16,O15467,CCL16,ENSG00000275152
CCL16,O15467,CCL16,ENSG00000275095
FGF10,O15520,FGF10,ENSG00000070193
CYP27B1,O15528,CYP27B1,ENSG00000111012
PLXNB1,O43157,PLXNB1,ENSG00000164050
MLNR,O43193,MLNR,ENSG00000102539
DHH,O43323,DHH,ENSG00000139549
TNFSF12,O43508,TNFSF12,ENSG00000239697
GNRH2,O43555,GNRH2,ENSG00000125787
TNFSF14,O43557,TNFSF14,ENSG00000125735
GALR2,O43603,GALR2,ENSG00000182687
HCRT,O43612,HCRT,ENSG00000161610
HCRTR1,O43613,HCRTR1,ENSG00000121764
HCRTR2,O43614,HCRTR2,ENSG00000137252
TYROBP,O43914,TYROBP,ENSG00000011600
VEGFD,O43915,VEGFD,ENSG00000165197
EFNA2,O43921,EFNA2,ENSG00000099617
CXCL13,O43927,CXCL13,ENSG00000156234
