gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	Germ.PGC	Germ.oocyte	Germ.oogonia_STRA8	Germ.oogonia_meiotic	Somatic.OSE	Somatic.granulosa	Somatic.preGC_IIa	Somatic.preGC_IIb
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS09B8977D7	UBASH3B	0.072	0.02	0.015	0.005	0.001	0.0	0.002	0.002
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS05760BB78	UBASH3B	0.072	0.02	0.015	0.005	0.001	0.0	0.002	0.002
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS0259A0EB4	UBASH3B	0.072	0.02	0.015	0.005	0.001	0.0	0.002	0.002
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS099F73A95	SULT1A1	0.286	0.03	0.131	0.032	0.345	0.822	0.404	0.526
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS0D89E7C19	SULT1A1	0.286	0.03	0.131	0.032	0.345	0.822	0.404	0.526
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS0412B081A	SULT1A1	0.286	0.03	0.131	0.032	0.345	0.822	0.404	0.526
SRD5A3	Q9H8P0	True	PORED_HUMAN	Dihydrotestosterone_bySRD5A3	CPI-CS039E9FE7F	SRD5A3	2.282	0.246	0.874	0.232	0.187	0.048	0.125	0.069
SRD5A1	P18405	True	S5A1_HUMAN	Dihydrotestosterone_bySRD5A1	CPI-CS0EC7F7C75	SRD5A1	0.186	0.177	0.179	0.145	0.124	0.11	0.151	0.11
SRD5A2	P31213	True	S5A2_HUMAN	Dihydrotestosterone_bySRD5A2	CPI-CS0D228AF4D	SRD5A2	0.006	0.01	0.004	0.034	0.0	0.0	0.0	0.0
SULT1E1	P49888	True	ST1E1_HUMAN	DHEAsulfate_bySULT1E1	CPI-CS0F71EE8D0	SULT1E1	0.005	0.007	0.008	0.005	0.109	0.031	0.018	0.01
SULT1E1	P49888	True	ST1E1_HUMAN	DHEAsulfate_bySULT1E1	CPI-CS06B596CD2	SULT1E1	0.005	0.007	0.008	0.005	0.109	0.031	0.018	0.01
SULT1E1	P49888	True	ST1E1_HUMAN	DHEAsulfate_bySULT1E1	CPI-CS0917E42F5	SULT1E1	0.005	0.007	0.008	0.005	0.109	0.031	0.018	0.01
CYP21A2	P08686	True	CP21A_HUMAN	Desoxycorticosterone_byCYP21A2	CPI-CS012A5546C	CYP21A2	0.0	0.0	0.001	0.011	0.002	0.02	0.004	0.011
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Desmosterol_byDHCR7	CPI-CS086D3E39F	DHCR7	0.546	0.475	0.895	0.274	0.547	0.254	0.479	0.521
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Desmosterol_byDHCR7	CPI-CS0DC57DE37	DHCR7	0.546	0.475	0.895	0.274	0.547	0.254	0.479	0.521
